industry,name,ticker,ISIN,stockkey
30101030,Albis Co,7475 JT,JP3126300007,21070
45203010,Espec Corp,6859 JT,JP3469800001,1126
20106020,Furukawa Co,5715 JT,JP3826800009,1008
20305030,Mitsubishi Logistics Corp,9301 JT,JP3902000003,2027
45301010,Sumco Corp,3436 JT,JP3322930003,42860
45301010,Nuflare Technology,6256 JT,JP3756350009,44815
45203010,Amano Corp,6436 JT,JP3124400007,1213
15101050,JCU Corp,4975 JT,JP3166200000,42951
30202030,Nippon Suisan Kaisha,1332 JT,JP3718800000,1536
45201020,Denki Kogyo Co,6706 JT,JP3550000008,1003
20104010,Endo Lighting Corp,6932 JT,JP3169600008,1986
25301040,Watami Co Ltd,7522 JT,JP3993900004,24216
30201010,Asahi Group Holdings Ltd,2502 JT,JP3116000005,1658
25301020,Kyoritsu Maintenance Co Ltd,9616 JT,JP3253900009,30982
35202010,Nippon Shinyaku Co,4516 JT,JP3717600005,1445
35101010,CYBERDYNE Inc,7779 JT,JP3311530004,352241
45203010,Azbil Corp,6845 JT,JP3937200008,1870
45103010,Nippon Systemware,9739 JT,JP3712500002,17959
20304010,West Japan Railway,9021 JT,JP3659000008,17986
25201040,Rinnai Corp,5947 JT,JP3977400005,1267
35101010,Olympus Corporation,7733 JT,JP3201200007,1707
20201060,Sato Holdings Corporation,6287 JT,JP3321400008,13033
25101010,Pacific Industrial Co,7250 JT,JP3448400006,1620
35203010,Linical Co Ltd,2183 JT,JP3974530002,208934
45203015,Hirose Electric Co,6806 JT,JP3799000009,1753
50201010,Hakuhodo DY Holdings,2433 JT,JP3766550002,41512
15101050,JSR Corp,4185 JT,JP3385980002,2091
25101010,Tokai Rika Co,6995 JT,JP3566600007,1474
20102010,Nichiha Corp,7943 JT,JP3662200009,8265
15102010,Taiheiyo Cement Corp,5233 JT,JP3449020001,1455
45102010,Itochu Techno-Solutions Corp,4739 JT,JP3143900003,29469
50102010,KDDI Corp,9433 JT,JP3496400007,9838
30202030,Morinaga & Co,2201 JT,JP3926400007,2098
45102010,Nihon Unisys,8056 JT,JP3754200008,1345
50201020,Tokyo Broadcasting System Holdings Inc,9401 JT,JP3588600001,1910
15101010,Valqua Ltd,7995 JT,JP3744200001,1619
25201030,Starts Corp Inc,8850 JT,JP3399200009,328013
20301010,MARUWA UNYU KIKAN CO LTD,9090 JT,JP3879170003,576752
45203015,Hosiden Corp,6804 JT,JP3845800006,1817
35103010,Medical Data Vision Co Ltd,3902 JT,JP3921250001,709397
20103010,Yokogawa Bridge Holdings Corp,5911 JT,JP3955200005,1960
45301010,Lasertec Corp,6920 JT,JP3979200007,24297
25504010,Aoyama Trading Co,8219 JT,JP3106200003,1963
25101020,Bridgestone Corp,5108 JT,JP3830800003,1808
50101020,Nippon Tel & Tel Corp,9432 JT,JP3735400008,7156
45203010,Hioki EE Corp,6866 JT,JP3783200003,24269
15101020,Ube Industries,4208 JT,JP3158800007,1736
30202030,Kotobuki Spirits Co Ltd,2222 JT,JP3299600001,356247
30302010,Kose Corp,4922 JT,JP3283650004,29646
25301040,SFP Holdings Co Ltd,3198 JT,JP3162250009,570562
40203020,M&A Capital Partners Co Ltd,6080 JT,JP3167320005,576702
25301030,Tokyotokeiba Co,9672 JT,JP3586600003,1368
25501010,Canon Marketing Japan Inc,8060 JT,JP3243600008,1878
15101010,Riken Technos Corp,4220 JT,JP3973000007,1457
45202030,EIZO Corp,6737 JT,JP3651080008,37062
20106020,Hokuetsu Industries Co Ltd,6364 JT,JP3841400009,7758
40301020,Japan Post Holdings co,6178 JT,JP3752900005,577062
20102010,Daikin Industries,6367 JT,JP3481800005,1393
25202010,Sankyo Co Ltd,6417 JT,JP3326410002,16144
20106010,Komatsu,6301 JT,JP3304200003,1021
20103010,Kinden Corp,1944 JT,JP3263000006,1757
20103010,Shimizu Corp,1803 JT,JP3358800005,2053
15101010,Shin-Etsu Polymer Co,7970 JT,JP3371600002,1633
25203010,Onward Holdings Co Ltd,8016 JT,JP3203500008,1822
20103010,Taisei Corp,1801 JT,JP3443600006,1361
20106010,Aichi Corp,6345 JT,JP3103200006,1145
30101020,Kato Sangyo Co,9869 JT,JP3213300001,5337
20106020,Torishima Pump Mfg,6363 JT,JP3636600003,1648
25202010,Yamaha Corp,7951 JT,JP3942600002,1449
20202010,Fullcast Holdings Co Ltd,4848 JT,JP3827800008,34937
25203030,Morito Co. Ltd.,9837 JT,JP3926200001,570552
25503010,Takashimaya Co,8233 JT,JP3456000003,1362
20103010,Maeda Corp,1824 JT,JP3861200008,1826
45103010,Infomart Corp,2492 JT,JP3153480003,43721
35102010,Japan Medical Dynamic Marketng,7600 JT,JP3689100000,31032
30203010,Japan Tobacco Inc,2914 JT,JP3726800000,7036
45202030,Elecom Co Ltd,6750 JT,JP3168200008,44173
30302010,Kao Corp,4452 JT,JP3205800000,1166
45301010,Japan Material Co Ltd,6055 JT,JP3389680004,283902
20106020,Sumitomo Heavy Industries,6302 JT,JP3405400007,1906
20202010,Benefit One Inc,2412 JT,JP3835630009,486687
15101010,Lintec Corp,7966 JT,JP3977200009,1813
25102010,SUBARU CORPORATION,7270 JT,JP3814800003,1988
20104010,Furukawa Electric Co,5801 JT,JP3827200001,1814
25203010,Seiko Holdings Corp,8050 JT,JP3414700009,1589
20103010,Penta Ocean Construction,1893 JT,JP3309000002,2156
35101010,Jeol,6951 JT,JP3735000006,889
20106020,CKD Corp,6407 JT,JP3346800000,1059
20106010,Kyokuto Kaihatsu Kogyo Co Ltd,7226 JT,JP3256900006,5341
20104020,Nissin Electric Co,6641 JT,JP3677600003,1616
20202010,S-Pool Inc,2471 JT,JP3163900008,819911
20102010,Sanwa Holdings Corp,5929 JT,JP3344400001,1711
15101010,Denka Co Ltd,4061 JT,JP3549600009,1812
45202030,Canon Inc,7751 JT,JP3242800005,1151
50201010,MACROMILLINC,3978 JT,JP3863030007,750315
35202010,Ono Pharmaceutical Co,4528 JT,JP3197600004,213246
20106020,Mitsubishi Heavy Industries,7011 JT,JP3900000005,2160
20106020,Tsubakimoto Chain Co,6371 JT,JP3535400000,1868
20106020,Nabtesco Corp,6268 JT,JP3651210001,42237
20202010,WDB Holdings Co Ltd,2475 JT,JP3505940001,43251
25201030,Sekisui Chemical Co,4204 JT,JP3419400001,1790
55101010,Hokkaido Electric Power Co,9509 JT,JP3850200001,2112
20201070,Duskin Co Ltd,4665 JT,JP3505900005,44221
35101010,Rion Co,6823 JT,JP3969700008,24349
25504050,NEXTAGE Co Ltd,3186 JT,JP3758210003,576687
45202030,Brother Industries,6448 JT,JP3830000000,1877
15101010,Toyobo Co,3101 JT,JP3619800000,996
20304020,"Chilled & Frozen Logistics Holdings Co., Ltd",9099 JT,JP3346180007,681602
20106010,Tadano Corp,6395 JT,JP3465000002,1127
30202030,Nissin Foods Holdings Co Ltd,2897 JT,JP3675600005,1945
25301030,Fuji Kyuko Co,9010 JT,JP3810400006,1005
25502020,Open Door Inc,3926 JT,JP3173560008,705032
25101010,Nippon Seiki Co,7287 JT,JP3720600000,2036
20104010,Nitto Kogyo Corp,6651 JT,JP3682400001,2038
45202030,Seiko Epson Corp,6724 JT,JP3414750004,39127
20107010,Mitsubishi Corp,8058 JT,JP3898400001,1684
45203010,Yokogawa Electric Corp,6841 JT,JP3955000009,1872
50202010,DAIICHIKOSHO CO LTD,7458 JT,JP3475200006,24246
15101020,Shikoku Chemical Corp,4099 JT,JP3349600001,1630
55101010,Tohoku Electric Power Co,9506 JT,JP3605400005,2103
40301020,Sony Financial Holdings Inc,8729 JT,JP3435350008,56238
60102030,Katitas Co Ltd,8919 JT,JP3932950003,42252
20107010,Itochu Corp,8001 JT,JP3143600009,1411
20304020,Nikkon Holdings Co Ltd,9072 JT,JP3709600005,1539
20302010,ANA HOLDINGS INC,9202 JT,JP3429800000,1806
15105020,Oji Holdings Corp,3861 JT,JP3174410005,1182
50201040,Zenrin Co,9474 JT,JP3430400006,16154
50203010,LINE Corp,3938 JT,JP3966750006,705017
20201050,Park 24 Co,4666 JT,JP3780100008,24341
15101050,Fujimi Inc,5384 JT,JP3820900003,24256
20301010,Yamato Holdings Co Ltd,9064 JT,JP3940000007,1804
45102010,SHIFT Inc,3697 JT,JP3355400007,709462
25504030,Arc Land Sakamoto Co,9842 JT,JP3100100001,24226
55105020,eREX Co Ltd,9517 JT,JP3130830007,689277
20202010,Trust Tech Inc,2154 JT,JP3635580008,64203
20107010,Japan Pulp & Paper Co,8032 JT,JP3694000005,1596
25101010,Tachi-S Co,7239 JT,JP3465400004,8136
30101040,Aeon Co Ltd,8267 JT,JP3388200002,918
20106020,IHI Corp,7013 JT,JP3134800006,2147
20106020,Komori Corp,6349 JT,JP3305800009,1426
45102020,Gmo Payment Gateway Inc,3769 JT,JP3385890003,41613
15101020,NOF CORP,4403 JT,JP3753400005,1693
15101050,Kanto Denka Kogyo Co,4047 JT,JP3232600001,1515
30101020,Yokohama Reito Co,2874 JT,JP3957000007,1208
20304020,SENKO Group Holdings Co Ltd,9069 JT,JP3423800006,2100
20102010,Central Glass Co,4044 JT,JP3425000001,1217
55102010,Tokyo Gas Co,9531 JT,JP3573000001,1200
55102010,Toho Gas Co,9533 JT,JP3600200004,992
25203010,Descente,8114 JT,JP3548800006,957
20201080,Secom Co,9735 JT,JP3421800008,941
25201010,Nikon Corp,7731 JT,JP3657400002,930
20103010,Nishimatsu Construction Co,1820 JT,JP3659200004,1695
15101050,Hitachi Chemical Co,4217 JT,JP3785000005,1591
20106010,Shinmaywa Industries,7224 JT,JP3384600007,1718
35103010,M3 Inc,2413 JT,JP3435750009,41082
15104050,Nippon Steel & Sumitomo Metal Corp,5401 JT,JP3381000003,1842
30201010,Kirin Holdings Co Ltd,2503 JT,JP3258000003,1520
20202010,Meitec Corp,9744 JT,JP3919200000,2025
20202020,Nomura Co,9716 JT,JP3762400004,7157
20202010,SMS,2175 JT,JP3162350007,56237
15101050,Tokuyama Corp,4043 JT,JP3625000009,1284
45102010,NS Solutions Corp,2327 JT,JP3379900008,37720
15101050,Shin-Etsu Chemical Co,4063 JT,JP3371200001,1951
25102010,Isuzu Motors,7202 JT,JP3137200006,1317
45203015,Arisawa Mfg Co,5208 JT,JP3126000003,5319
15101010,Mitsui Chemicals Inc,4183 JT,JP3888300005,2155
45203015,Omron Corp,6645 JT,JP3197800000,2167
20102010,Toto,5332 JT,JP3596200000,904
